City,avg_appeal_change_city,count_appeals_city,count_parcels_city,count_unique_parcels_filing_appeal_city,lost_revenue_city,med_appeal_change_city,pct_appeals_in_city,pct_appeals_over_pct_parcels,pct_avg_appeal_change_city,pct_filing_appeal_by_city,pct_filing_appeal_of_fulton,pct_parcels_in_city,percent_filing_geq_than_10_appeals,percent_filing_geq_than_1_appeals,percent_filing_geq_than_2_appeals,percent_filing_geq_than_3_appeals,percent_filing_geq_than_4_appeals,percent_filing_geq_than_5_appeals,percent_filing_geq_than_6_appeals,percent_filing_geq_than_7_appeals,percent_filing_geq_than_8_appeals,percent_filing_geq_than_9_appeals,success_count_city,success_rate_city,sum_appealed_city
Alpharetta,157533.27363058578,13749,21349,7235,5743789.183190062,17733.421833778644,5.042469853005898,0.8682051798432338,17.37337275890824,33.889175137008756,1.9682575955427877,5.807924175154523,0.0234203007166612,33.889175137008756,14.778209752213217,7.433603447468265,4.018923602979062,2.2670851093728044,1.0820178931097475,0.5995596983465268,0.20141458616328634,0.1030493231533093,8440,61.38628263873736,1329580829.442144
Atlanta,150815.33509589883,137249,155640,63244,53446976.06079009,18411.63893166036,50.336311357568285,1.188821811491929,21.610422627340267,40.63479825237728,17.20531905632454,42.341342387046225,0.02505782575173477,40.63479825237728,21.96607555898227,12.206373682857876,6.76946800308404,3.553071189925469,1.83757388846055,0.7877152402981239,0.29812387561038295,0.09509123618607042,82034,59.77019868997224,12371985199.256966
Chattahoochee Hills,28610.61521881065,2560,2833,1081,209498.3688782191,10036.726786321964,0.9388844878678521,1.2182100797332034,49.68564541447362,38.157430285915986,0.2940824410202838,0.7707081918690694,0.0,38.157430285915986,22.13201553123897,14.119308153900459,9.601129544652313,5.012354394634663,0.953053300388281,0.24708789269325804,0.10589481115425345,0.03529827038475115,1695,66.2109375,48494992.79588405
College Park,171235.57008266414,2231,4264,1082,918754.1771443295,18035.056149489377,0.8182231611067101,0.7053605592219723,30.82737596293207,25.375234521575983,0.2943544876817272,1.1600069643945328,0.0,25.375234521575983,12.804878048780488,6.801125703564728,4.151031894934333,1.8527204502814258,0.9615384615384616,0.2579737335834897,0.09380863039399624,0.02345215759849906,1242,55.670103092783506,212674578.04266888
East Point,71678.84990410143,7105,12940,3801,1123110.0947613998,7766.904786773451,2.6057712055863624,0.7402162309383751,29.39499146930651,29.374034003091193,1.0340493601462524,3.5202837990772182,0.0077279752704791345,29.374034003091193,13.709428129829984,6.298299845440495,2.8902627511591965,1.545595054095827,0.7032457496136012,0.25502318392581147,0.08500772797527048,0.03863987635239567,3627,51.04855735397608,259979188.6021759
Fairburn,58224.82722161571,4918,5951,2018,817728.1054450821,5598.641226157946,1.8036851216148815,1.1141082032325402,50.81381509870383,33.91026718198622,0.5489901627927222,1.6189496822494993,0.0,33.91026718198622,20.567971769450512,14.216098134767266,7.7465972105528484,3.646445975466308,1.7476054444631157,0.6385481431692153,0.1512350865400773,0.016803898504453033,3251,66.10410736071573,189288913.2974727
Hapeville,98225.31794284825,2187,2583,1051,566909.3870135075,9196.637836635815,0.8020860839714814,1.1414402287672203,25.70735819092742,40.68912117692606,0.28592104117698264,0.7026965265082267,0.03871467286101432,40.68912117692606,21.525358110723964,11.730545876887339,6.116918312040263,2.710027100271003,1.0452961672473868,0.5420054200542005,0.19357336430507163,0.07742934572202864,1336,61.08824874256973,131229024.77164526
Johns Creek,74284.57151361166,14133,26674,7928,2476136.536411799,14842.112689818292,5.1833025261860755,0.714290723470639,15.240611445111583,29.721826497713128,2.1567859319230434,7.256572647340471,0.007497938067031567,29.721826497713128,12.596535952613031,5.600959736072579,2.699257704131364,1.3533778210991978,0.5660943240608832,0.2849216465471995,0.11621804003898928,0.03748969033515783,7716,54.595627255359794,573179753.7990276
Milton,55110.64782726139,8610,13671,4897,1122537.7634639218,19711.22848276768,3.157732593961799,0.8490468713472709,20.579681863093047,35.82034964523444,1.3322125010881867,3.7191499085923216,0.00731475385853266,35.82034964523444,15.624314241825763,6.663740765123253,2.794235973959476,1.2435081559505523,0.5120327700972862,0.22675736961451248,0.0731475385853266,0.01462950771706532,4715,54.761904761904766,259846704.50553745
Mountain Park,12145.744941267376,211,635,144,3148.1770887765038,6564.902879746089,0.07738461989848311,0.447958238122268,21.856032786620958,22.677165354330707,0.039174719247845394,0.17274963001654042,0.0,22.677165354330707,7.4015748031496065,1.889763779527559,0.7874015748031495,0.15748031496062992,0.15748031496062992,0.15748031496062992,0.0,0.0,60,28.436018957345972,728744.6964760425
Palmetto,22418.228789099507,862,2078,477,47454.90670076584,4397.3174931013455,0.31614001114925333,0.559230076315145,29.705089917803885,22.954764196342637,0.12976625750848786,0.5653129624793245,0.0,22.954764196342637,9.865255052935515,5.245428296438884,2.550529355149182,0.6737247353224254,0.0962463907603465,0.04812319538017325,0.04812319538017325,0.0,490,56.8445475638051,10984932.106658759
Roswell,78966.16524708424,17149,31144,9516,3321620.140366912,15854.717129890125,6.289425813455388,0.7423234967291245,18.00269973235621,30.554842024145902,2.588796030295116,8.47262122399234,0.02889802209093244,30.554842024145902,12.920626765990239,6.046108399691755,2.9283329052144875,1.4352684305163113,0.7192396609298741,0.260082198818392,0.11238119702029284,0.04816337015155407,9737,56.778820922502774,768893551.0108593
Sandy Springs,155136.8358919909,23466,29350,11247,10308209.786732355,25404.895736816743,8.606196637619929,1.0778535553127373,16.382476504088558,38.32027257240204,3.059708801253591,7.984569513362932,0.020442930153321975,38.32027257240204,19.41396933560477,10.507666098807496,5.792163543441227,3.110732538330494,1.6490630323679727,0.7529812606473595,0.293015332197615,0.08858603066439523,15381,65.54589619023268,2386159672.854712
South Fulton,37393.55687743179,27072,44044,13821,2550073.055906037,4604.8562485469865,9.928703459202536,0.8286333058640235,37.02667504782504,31.379983652710923,3.759956907808827,11.982023156611822,0.009081827263645445,31.379983652710923,15.311960766506221,7.4039596766869495,3.607755880483153,2.0002724548179094,1.123876123876124,0.43365725183907006,0.13849786577059303,0.05676142039778403,15786,58.31117021276596,590294688.8671381
Union City,36851.82766891605,5940,8468,2796,586174.0153404193,3670.952469196117,2.178505413255875,0.9456586370172977,40.885805386592644,33.01842229570147,0.7606424653956646,2.3036911291024635,0.0,33.01842229570147,19.20170051960321,9.045819555975438,4.75909305621162,2.6334435521965043,1.086443079829948,0.271610769957487,0.0944733112895607,0.03542749173358527,3682,61.986531986531986,135688429.4769489
total,879144.5539308143,250720,337395,122740,80659362.00863609,133526.4136766881,91.95199953055776,8.150831403764553,201.31828963895686,310.38440296160974,33.39100722555933,91.78718333768607,0.16815624603335352,310.38440296160974,147.84647861428945,73.89125752903601,37.61731867649227,19.21893785437957,9.238439609763425,4.1427032700911965,1.5113795276668283,0.5598398006797605,148772,523.2867067680214,18671148613.110207
